Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
Ubon Ratchathani University,"",_1,20,16,17,0,17
Sirindhorn International Institute of Technology,"",_131,18,17,17,0,17
EXZY Co Ltd / Electronics Extreme (EXE),"",_1181,16,12,16,0,16
SIIT Thailand,"",_417,15,15,15,0,15
DEC Media,"",_4,15,10,13,0,13
Workpoint Entertainment Co Ltd,"",_148,12,10,10,0,10
Silpakorn University,"",_136,11,10,11,0,11
KMUTT / Field robotics - HCI Lab,"",_450,9,9,7,0,7
yod@unity3d.com        :),"",_572,8,8,8,0,8
True Axion Games,"",_85,8,8,8,0,8
TechnoBrave Asia,"",_8,8,4,8,0,8
Chiang Mai University,"",_734,8,8,8,0,8
Blue Ocean Technology Co., Ltd.,"",_114,8,7,6,0,6
,"",_3,8,8,5,0,5
Rangsit University,"",_368,7,7,4,0,4
Heavenhell Studio,"x10studio.com

",_338,7,7,6,0,6
Digitopolis Studio / Crossfire Studio,"",_6,6,6,3,0,3
Debuz Thailand,"",_72,6,6,5,1,6
,"",_2,6,6,6,0,6
,"",_5,6,5,4,1,5
Rajamangala University of Technology,"",_145,5,5,5,0,5
Programing.co.th,"",_28,5,4,5,0,5
Kanchanaburi Rajabhat University,"",_2614,5,4,2,3,5
Cyberrex Design,"",_15,5,1,3,0,3
Clicknext Thailand,"",_550,5,3,4,0,4
Chandrakasem Rajabhat University,"",_13,5,5,5,0,5
,"",_14,5,3,5,0,5
,"",_362,5,2,5,0,5
Urnique Studio,"https://www.urniquestudio.com/

",_612,4,4,4,0,4
Mahasarakham University Thailand,"",_1166,4,4,4,0,4
LunarCraft Game,"",_118,4,2,4,0,4
Innova Interactive Studio / MadVR Studio,"",_532,4,2,4,0,4
,"",_11,4,3,3,0,3
,"",_22,4,3,3,1,4
,"",_34,4,1,2,0,2
,"",_45,4,2,4,0,4
,"",_63,4,1,4,0,4
,"",_112,4,3,4,0,4
,"",_135,4,1,4,0,4
Varisoft Game Studio,"",_833,3,3,3,0,3
The Eyes Multimedia,"https://theeyes.co.th/about.php

",_604,3,4,3,0,3
STYX Co., Ltd.,"",_1882,3,3,2,0,2
Rajamangala University of Technology Krungthep,"",_98,3,2,3,0,3
Maloya Games (Hong Kong),"",_30,3,1,3,0,3
Mahasarakham University,"",_1593,3,3,3,0,3
Jako Thai Studio,"https://genesis.hq.unity3d.com/organizations/18966779179762/
http://jakothaistudio.com/

",_55,3,2,3,0,3
Good Job Multimedia,"",_1572,3,3,3,0,3
D1FX,"https://www.d1fx.com/

",_182,3,3,2,0,2
Bit Egg,"",_428,3,3,3,0,3
,"",_7,3,3,3,0,3
,"",_12,3,3,2,0,2
,"",_21,3,1,3,0,3
,"",_42,3,2,3,0,3
,"",_53,3,1,3,0,3
,"",_61,3,3,3,0,3
,"",_67,3,3,3,0,3
,"",_71,3,3,3,0,3
,"",_82,3,2,3,0,3
,"",_91,3,2,3,0,3
,"",_125,3,3,3,0,3
,"",_126,3,2,3,0,3
,"",_138,3,1,3,0,3
,"",_166,3,1,3,0,3
,"",_215,3,2,3,0,3
,"",_244,3,2,3,0,3
,"",_270,3,1,3,0,3
,"",_425,3,1,3,0,3
,"",_437,3,2,3,0,3
,"",_454,3,1,3,0,3
,"",_564,3,2,3,0,3
,"",_590,3,1,3,0,3
,"",_629,3,2,3,0,3
,"",_1236,3,1,2,0,2
,"",_1335,3,1,3,0,3
,"",_2200,3,1,3,0,3
,"",_3447,3,1,3,0,3
Wicket Gaming,"",_708,2,2,1,0,1
TU University,"",_1297,2,2,2,0,2
Sripatum University,"",_552,2,2,2,0,2
Sakon Nakhon Rajabhat University,"",_204,2,2,2,0,2
Ringzero Game Studio,"",_322,2,2,0,0,0
Pigsss Games,"",_414,2,1,2,0,2
NovaResearch / Defense Technology Institute,"",_660,2,2,1,0,1
https://3dtv-tech.com/,"",_193,2,2,2,0,2
Dreamdev Studios,"",_57,2,1,2,0,2
AB Wing,"https://www.abwing.com/

",_937,2,2,2,0,2
,"",_16,2,2,2,0,2
,"",_18,2,1,2,0,2
,"",_20,2,2,2,0,2
,"",_25,2,2,2,0,2
,"",_26,2,1,2,0,2
,"",_33,2,2,1,0,1
,"",_35,2,1,2,0,2
,"",_38,2,2,2,0,2
,"",_43,2,2,2,0,2
,"",_44,2,1,2,0,2
,"",_47,2,1,2,0,2
,"",_49,2,1,0,0,0
,"",_50,2,1,2,0,2
,"",_51,2,1,2,0,2
,"",_52,2,1,2,0,2
,"",_62,2,2,2,0,2
,"",_68,2,2,2,0,2
,"",_70,2,2,2,0,2
,"",_73,2,1,2,0,2
,"",_87,2,2,1,0,1
,"",_89,2,1,2,0,2
,"",_96,2,2,1,0,1
,"",_99,2,1,2,0,2
,"",_102,2,2,1,0,1
,"",_105,2,1,2,0,2
,"",_108,2,1,2,0,2
,"",_120,2,2,2,0,2
,"",_122,2,2,2,0,2
,"",_127,2,2,2,0,2
,"",_128,2,1,2,0,2
,"",_130,2,2,1,0,1
,"",_132,2,2,1,0,1
,"",_139,2,1,2,0,2
,"",_140,2,1,2,0,2
,"",_141,2,3,2,0,2
,"",_142,2,2,2,0,2
,"",_144,2,2,2,0,2
,"",_146,2,1,2,0,2
,"",_153,2,1,1,0,1
,"",_154,2,1,2,0,2
,"",_156,2,2,2,0,2
,"",_164,2,2,2,0,2
,"",_167,2,1,2,0,2
,"",_170,2,2,2,0,2
,"",_175,2,2,2,0,2
,"",_183,2,2,2,0,2
,"",_190,2,2,1,0,1
,"",_199,2,2,1,0,1
,"",_206,2,2,0,0,0
,"",_220,2,2,2,0,2
,"",_221,2,2,2,0,2
,"",_222,2,2,2,0,2
,"",_228,2,2,2,0,2
,"",_231,2,2,2,0,2
,"",_237,2,2,2,0,2
,"",_238,2,1,2,0,2
,"",_258,2,1,2,0,2
,"",_266,2,2,2,0,2
,"",_267,2,2,2,0,2
,"",_271,2,2,2,0,2
,"",_289,2,1,2,0,2
,"",_290,2,1,2,0,2
,"",_305,2,1,2,0,2
,"",_308,2,2,2,0,2
,"",_317,2,1,2,0,2
,"",_319,2,2,2,0,2
,"",_327,2,2,2,0,2
,"",_328,2,2,1,1,2
,"",_335,2,1,2,0,2
,"",_339,2,2,2,0,2
,"",_352,2,1,2,0,2
,"",_353,2,1,2,0,2
,"",_354,2,1,2,0,2
,"",_357,2,1,2,0,2
,"",_358,2,2,2,0,2
,"",_369,2,1,2,0,2
,"",_373,2,1,2,0,2
,"",_375,2,1,2,0,2
,"",_376,2,2,1,0,1
,"",_397,2,1,2,0,2
,"",_415,2,2,2,0,2
,"",_416,2,2,2,0,2
,"",_418,2,1,2,0,2
,"",_421,2,2,0,2,2
,"",_449,2,1,2,0,2
,"",_451,2,2,2,0,2
