Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
NTU,"",_12,153,109,148,2,150
,"",_1,98,95,85,10,95
,"",_2,72,70,29,38,67
Singapore Poly,"",_14,57,26,55,1,56
NYP,"",_22,51,46,47,0,47
,"",_3,49,41,36,3,39
,"",_4,40,33,25,1,26
Mages,"",_24,35,28,32,0,32
,"",_8,34,29,23,4,27
,"",_7,32,28,16,2,18
Unity,"",_5,28,26,13,1,14
,"",_15,26,25,16,1,17
,"",_9,25,25,13,0,13
,"",_6,23,19,13,2,15
NUS,"",_51,22,15,11,0,11
Singapore Poly / Chesterfield,"http://chesterfield.sg/
Singapore Polytechnic
",_30,21,17,20,0,20
,"",_11,19,18,13,1,14
Gumi,"",_27,18,17,2,0,2
Temasek Poly,"",_38,17,16,12,0,12
89trillion.com,"",_26,16,16,15,0,15
Koei Tecmo,"",_31,15,15,4,0,4
,"",_19,14,14,13,0,13
Tendays Studio / Ignite VR,"",_35,12,10,9,0,9
,"",_13,12,12,6,1,7
,"",_16,12,12,5,0,5
SIT,"",_79,11,9,11,0,11
IGG,"",_46,11,12,2,0,2
,"",_10,11,10,5,1,6
,"",_40,10,10,10,0,10
,"",_42,10,9,8,2,10
Yoozoo games,"https://global.yoozoo.com/news/7000056.html
",_44,9,10,9,0,9
GovTech,"rayjue99@hotmail.com
hazel77744@gmail.com
",_65,9,9,7,0,7
Aviation Virtual,"",_29,9,7,6,0,6
,"",_20,9,9,6,0,6
,"",_39,9,7,6,2,8
,"",_41,9,8,8,0,8
,"",_47,8,8,5,0,5
White Label Studio,"https://whitelabelstudio.global/
",_94,7,4,7,0,7
VR Collab,"",_72,7,3,2,0,2
Hiverlab,"https://www.hiverlab.com/
",_36,7,4,3,0,3
Exousia Studios,"",_110,7,6,7,0,7
Electricsquare,"",_66,7,7,2,0,2
,"",_23,7,7,4,1,5
Swagsoft,"",_52,6,5,2,0,2
Mighty Bear,"",_113,6,6,1,0,1
