Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_1,136,129,117,13,130
,"",_2,72,72,31,38,69
NTU,"",_48,65,57,64,0,64
,"",_3,39,37,28,2,30
NYP,"",_36,38,33,35,1,36
,"",_4,38,33,23,4,27
,"",_10,30,27,17,1,18
,"",_7,29,27,15,5,20
,"",_5,28,30,15,5,20
,"",_12,28,27,15,2,17
Unity,"",_6,24,23,11,0,11
,"",_8,23,26,16,1,17
,"",_22,23,16,23,0,23
,"",_13,22,24,16,3,19
,"",_9,19,21,12,2,14
Gumi,"",_21,17,16,4,0,4
Mages,"",_47,16,14,14,0,14
,"",_16,16,17,9,1,10
Temasek Poly,"",_89,15,14,10,1,11
89trillion.com,"",_20,14,15,13,0,13
,"",_11,14,16,7,1,8
,"",_17,14,16,8,2,10
,"",_14,13,11,8,1,9
SIT,"",_73,11,10,10,0,10
,"",_18,11,11,6,2,8
,"",_24,11,10,9,2,11
Koei Tecmo,"",_32,10,10,2,0,2
,"",_15,10,9,5,2,7
,"",_19,10,10,5,0,5
Singapore Poly,"",_51,9,7,9,0,9
NUS,"",_797,9,7,5,0,5
,"",_30,9,9,6,0,6
Tendays Studio / Ignite VR,"",_198,8,7,5,0,5
IGG,"",_39,8,7,1,0,1
,"",_28,8,8,6,1,7
,"",_29,8,8,4,4,8
,"",_31,7,7,6,0,6
,"",_38,7,6,7,0,7
SUTD,"",_462,6,6,6,0,6
Singapore Poly / Chesterfield,"http://chesterfield.sg/
Singapore Polytechnic
",_395,6,6,5,0,5
Mighty Bear,"",_134,6,5,2,0,2
Hiverlab,"https://www.hiverlab.com/
",_203,6,4,1,0,1
Electricsquare,"",_61,6,6,1,0,1
,"",_25,6,6,3,1,4
,"",_37,6,6,6,0,6
Yoozoo games,"https://global.yoozoo.com/news/7000056.html
",_179,5,4,5,0,5
Azurite,"",_149,5,4,4,0,4
,"",_34,5,5,5,0,5
,"",_35,5,5,5,0,5
,"",_46,5,5,5,0,5
White Label Studio,"https://whitelabelstudio.global/
",_144,4,3,4,0,4
VR Collab,"",_319,4,3,0,0,0
Swagsoft,"",_335,4,4,2,0,2
Singnet,"",_81,4,1,4,0,4
SideFX Studios,"https://genesis.hq.unity3d.com/organizations/1374436136701/
",_44,4,4,0,0,0
Royce Media,"",_147,4,3,4,0,4
Marina Bay Sands,"sinonet3d@gmail.com
https://genesis.hq.unity3d.com/organizations/18966836212561/
millernguyen.mbs@gmail.com
liulink@gmail.com
",_145,4,2,4,0,4
Land Shark Games,"",_304,4,4,0,0,0
GovTech,"rayjue99@hotmail.com
hazel77744@gmail.com
",_300,4,3,2,0,2
Autumn Interactive,"",_868,4,4,3,0,3
,"",_45,4,4,3,0,3
,"",_67,4,4,4,0,4
