Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
NTU,"",_4,122,94,119,3,122
,"",_1,102,99,85,11,96
,"",_2,82,78,35,42,77
NYP,"",_21,47,40,43,1,44
,"",_5,37,32,27,2,29
,"",_6,35,35,20,1,21
,"",_9,33,28,17,6,23
,"",_7,31,30,20,5,25
,"",_12,29,30,19,1,20
Unity,"",_3,27,25,12,2,14
Mages,"",_25,27,24,24,0,24
,"",_13,27,26,14,4,18
,"",_15,27,24,17,3,20
Vincent Goh,"",_22,21,15,21,0,21
,"",_8,21,18,9,3,12
,"",_16,21,23,17,2,19
Gumi,"",_23,17,17,1,0,1
,"",_11,16,17,10,2,12
,"",_17,16,15,7,2,9
,"",_18,16,16,9,0,9
NUS,"",_64,15,11,11,0,11
,"",_10,15,14,6,3,9
,"",_14,15,15,7,1,8
Koei Tecmo,"",_28,14,14,2,0,2
Tendays Studio / Ignite VR,"",_35,12,9,8,0,8
Singapore Poly / Chesterfield,"http://chesterfield.sg/
Singapore Polytechnic
",_108,12,7,11,0,11
Singapore Poly,"",_44,12,7,12,0,12
IGG,"",_40,12,12,1,0,1
89trillion.com,"",_27,12,12,11,0,11
,"",_30,12,11,10,2,12
SUTD,"",_41,11,9,10,0,10
,"",_19,11,13,7,2,9
,"",_37,11,10,9,0,9
Aviation Virtual,"",_50,10,8,9,0,9
SIT,"",_71,9,8,9,0,9
,"",_20,9,11,5,1,6
,"",_38,9,9,9,0,9
,"",_39,9,8,8,0,8
White Label Studio,"https://whitelabelstudio.global/
",_87,8,4,5,0,5
Temasek Poly,"",_82,7,7,3,1,4
Autumn Interactive,"",_58,7,5,5,0,5
,"",_33,7,6,5,1,6
The Carrot Studio,"",_84,6,5,5,0,5
Swagsoft,"",_46,6,4,2,0,2
Mighty Bear,"",_161,6,6,1,0,1
Hiverlab,"https://www.hiverlab.com/
",_42,6,4,3,0,3
,"",_36,6,6,6,0,6
,"",_53,6,5,3,1,4
,"",_55,6,6,2,4,6
,"",_61,6,6,6,0,6
,"",_62,6,6,6,0,6
Yoozoo games,"https://global.yoozoo.com/news/7000056.html
",_207,5,5,5,0,5
EON Reality,"",_110,5,4,0,0,0
DSO HEDP,"",_103,5,3,5,0,5
,"",_49,5,4,4,0,4
,"ST Engineering
",_70,5,3,4,0,4
,"",_72,5,5,3,0,3
Revez Digital,"http://revezdigital.com/
Plus license
",_54,4,4,4,0,4
NUS Engineering Design and Innovation Centre,"",_149,4,3,2,0,2
Land Shark Games,"",_152,4,4,0,0,0
Korea user,"",_85,4,3,3,0,3
GovTech,"rayjue99@hotmail.com
hazel77744@gmail.com
",_390,4,4,2,0,2
Exousia Studios,"",_237,4,3,4,0,4
Electricsquare,"",_99,4,4,0,0,0
Chariots Gaming,"",_153,4,3,0,0,0
Aviationlearn.com,"",_57,4,3,3,0,3
,"",_48,4,3,4,0,4
,"",_65,4,3,4,0,4
,"",_77,4,4,3,1,4
,"",_94,4,3,3,0,3
,"",_98,4,4,4,0,4
,"",_119,4,3,3,0,3
VR Collab,"",_106,3,3,0,0,0
Trinax,"",_34,3,2,0,0,0
Silversea Media,"https://www.silversea-media.com/
",_285,3,2,0,3,3
SideFX Studios,"https://genesis.hq.unity3d.com/organizations/1374436136701/
",_51,3,4,0,0,0
Royce Media,"",_52,3,2,3,0,3
PlayTech Studio,"",_369,3,1,3,0,3
New Future Games,"",_252,3,3,3,0,3
Marina Bay Sands,"sinonet3d@gmail.com
https://genesis.hq.unity3d.com/organizations/18966836212561/
millernguyen.mbs@gmail.com
liulink@gmail.com
",_175,3,2,3,0,3
https://www.xiibraves.com/,"Org with 11 members
",_121,3,3,1,0,1
Anacle,"",_312,3,3,0,0,0
,"",_56,3,1,3,0,3
,"",_95,3,3,3,0,3
,"",_97,3,3,3,0,3
,"",_101,3,2,3,0,3
,"",_102,3,3,1,0,1
,"",_104,3,3,1,2,3
,"",_105,3,2,3,0,3
,"",_123,3,2,3,0,3
,"",_132,3,3,3,0,3
,"",_143,3,3,3,0,3
,"",_150,3,1,3,0,3
,"",_151,3,3,2,1,3
,"",_162,3,3,3,0,3
,"",_167,3,3,3,0,3
,"",_176,3,3,3,0,3
,"",_178,3,3,3,0,3
,"",_179,3,3,2,0,2
,"",_191,3,2,3,0,3
,"",_234,3,1,1,0,1
,"",_291,3,1,3,0,3
Vividthree,"",_318,2,2,0,0,0
The iterative Collective,"https://theiterative.co/
",_182,2,2,2,0,2
Taggle Health,"",_492,2,1,1,0,1
STE Training & Simulation,"leong.guowei@stengg.com	
liew.wanhui@stee.stengg.com
kohwuisiong2@gmail.com
",_76,2,2,1,0,1
StarSprite,"http://starsprite.com/
",_226,2,2,1,0,1
ST Engineering Land Systems,"",_256,2,1,1,0,1
Siemens - Lim Riqui,"https://genesis.hq.unity3d.com/users/18966804306463/
",_254,2,1,2,0,2
NTU VR Lab,"",_290,2,1,2,0,2
Meshtint,"",_1095,2,1,2,0,2
Mersiva LLP / Iceberg Design,"",_154,2,2,2,0,2
Make Studios,"",_428,2,1,2,0,2
DSTA,"https://genesis.hq.unity3d.com/users/5336777/
",_173,2,3,2,0,2
Cybervision,"",_183,2,2,2,0,2
Bui_Thanh (VN),"",_287,2,2,0,2,2
Azurite,"",_247,2,2,1,0,1
A-Star,"https://genesis.hq.unity3d.com/organizations/18966615602330/
",_723,2,3,0,0,0
AAT Training Hub,"",_186,2,1,0,0,0
,"",_24,2,2,2,0,2
,"",_66,2,2,1,1,2
,"",_67,2,2,2,0,2
,"",_68,2,2,2,0,2
,"",_75,2,2,1,1,2
,"",_83,2,2,2,0,2
,"",_89,2,1,2,0,2
,"",_96,2,2,2,0,2
,"",_115,2,1,2,0,2
,"",_124,2,2,2,0,2
,"",_131,2,2,2,0,2
,"",_134,2,1,2,0,2
,"",_135,2,2,2,0,2
,"",_137,2,2,2,0,2
,"",_138,2,2,1,0,1
,"",_140,2,2,2,0,2
,"",_142,2,2,2,0,2
,"",_148,2,1,2,0,2
,"",_157,2,1,2,0,2
,"",_158,2,1,2,0,2
,"",_159,2,3,2,0,2
,"",_160,2,2,2,0,2
,"",_170,2,1,2,0,2
,"",_171,2,1,2,0,2
,"",_185,2,1,2,0,2
,"",_189,2,2,2,0,2
,"",_192,2,2,2,0,2
,"",_193,2,2,2,0,2
,"",_198,2,2,2,0,2
,"",_199,2,2,2,0,2
,"",_201,2,2,2,0,2
,"",_202,2,2,2,0,2
,"",_203,2,1,2,0,2
,"",_205,2,1,2,0,2
,"",_206,2,1,2,0,2
,"",_209,2,1,2,0,2
,"",_217,2,2,2,0,2
,"",_218,2,2,2,0,2
,"",_227,2,2,2,0,2
,"",_231,2,1,2,0,2
,"",_248,2,2,2,0,2
,"",_249,2,2,1,1,2
,"",_250,2,2,1,0,1
,"",_253,2,2,2,0,2
,"",_255,2,2,2,0,2
,"",_257,2,1,2,0,2
,"",_258,2,1,2,0,2
,"",_262,2,2,0,0,0
,"",_264,2,2,2,0,2
,"",_265,2,2,1,0,1
,"",_266,2,2,2,0,2
,"",_282,2,2,2,0,2
,"",_286,2,1,2,0,2
,"",_289,2,1,2,0,2
,"",_301,2,2,2,0,2
,"",_302,2,2,2,0,2
,"",_304,2,2,2,0,2
,"",_309,2,2,2,0,2
,"",_310,2,1,2,0,2
,"",_315,2,1,2,0,2
,"",_329,2,1,2,0,2
,"",_330,2,1,2,0,2
,"",_331,2,2,1,0,1
,"",_341,2,2,2,0,2
,"",_343,2,2,2,0,2
,"",_347,2,1,1,0,1
,"",_348,2,2,2,0,2
,"",_350,2,1,1,0,1
,"",_355,2,1,2,0,2
,"",_358,2,1,2,0,2
,"",_363,2,2,2,0,2
,"",_364,2,1,2,0,2
,"",_367,2,2,2,0,2
,"",_372,2,1,2,0,2
,"",_382,2,1,2,0,2
,"",_389,2,1,2,0,2
,"",_394,2,2,2,0,2
,"",_403,2,2,2,0,2
,"",_409,2,2,2,0,2
,"",_533,2,1,2,0,2
,"",_633,2,1,2,0,2
,"",_669,2,1,2,0,2
,"",_879,2,1,2,0,2
,"",_904,2,1,2,0,2
,"",_934,2,1,2,0,2
,"",_975,2,1,2,0,2
,"",_1061,2,1,2,0,2
,"",_1066,2,1,2,0,2
Visenze,"",_448,1,1,1,0,1
Ubisoft,"https://genesis.hq.unity3d.com/users/20066241185396/
",_639,1,1,0,0,0
Terresqual,"",_129,1,1,1,0,1
Starstruck Games,"",_647,1,1,1,0,1
Singapore American School,"",_1184,1,1,1,0,1
Shadowbyte Games,"",_1006,1,1,0,0,0
Quantum Jump Tech,"http://qjdev.lihailouti.cn/%E5%85%B3%E4%BA%8E%E7%90%A6%E6%99%AF%E7%A7%91%E6%8A%80
https://genesis.hq.unity3d.com/organizations/18966610847599/members-groups
",_811,1,1,1,0,1
Presence Pictures VR,"https://app.presencepictures.com.sg/storePages/presenceImages/PresencePicturesAboutUs.pdf#toolbar=0&navpanes=0&scrollbar=0
",_742,1,1,0,0,0
Pern Jie,"",_622,1,1,1,0,1
Orca Studios,"",_658,1,1,0,0,0
NUS-HCI Lab,"",_306,1,1,1,0,1
iShorty,"",_379,1,1,1,0,1
Hennery Studio,"",_996,1,1,1,0,1
Brandon Gui,"",_111,1,1,0,0,0
Bandai Namco,"",_544,1,1,0,0,0
Appigniter,"https://www.appigniter.co/
Plus license
",_346,1,1,0,0,0
,"",_47,1,1,1,0,1
,"",_60,1,1,1,0,1
,"",_63,1,1,1,0,1
,"",_69,1,1,1,0,1
,"",_73,1,1,1,0,1
,"",_74,1,1,1,0,1
,"",_78,1,1,1,0,1
,"",_79,1,1,1,0,1
,"",_80,1,1,1,0,1
